"x"
"1"	"642"
"2"	"662"
"3"	"665"
"4"	"666"
"5"	"667"
"6"	"669"
"7"	"670"
"8"	"671"
"9"	"672"
"10"	"684"
"11"	"932"
"12"	"939"
"13"	"940"
"14"	"942"
"15"	"946"
"16"	"948"
"17"	"949"
"18"	"950"
"19"	"952"
"20"	"954"
"21"	"955"
"22"	"957"
"23"	"958"
"24"	"973"
"25"	"977"
"26"	"978"
"27"	"979"
"28"	"981"
"29"	"982"
"30"	"992"
"31"	"993"
"32"	"994"
"33"	"1169"
"34"	"1170"
"35"	"1178"
"36"	"1179"
"37"	"1180"
"38"	"1207"
"39"	"1212"
"40"	"1571"
"41"	"1572"
"42"	"1573"
"43"	"1574"
"44"	"1578"
"45"	"1582"
"46"	"1583"
"47"	"1587"
"48"	"1592"
"49"	"1622"
"50"	"1636"
"51"	"1641"
"52"	"1650"
"53"	"1652"
"54"	"1659"
"55"	"1893"
"56"	"1941"
"57"	"4193"
"58"	"8150"
"59"	"8157"
"60"	"8159"
"61"	"14765"
"62"	"14776"
"63"	"15024"
"64"	"15032"
"65"	"15035"
"66"	"15154"
"67"	"15174"
"68"	"15176"
"69"	"15238"
"70"	"15242"
"71"	"15255"
"72"	"15261"
"73"	"15315"
"74"	"15316"
"75"	"15319"
"76"	"15325"
"77"	"15330"
"78"	"15336"
"79"	"15342"
"80"	"15344"
"81"	"29738"
"82"	"29739"
"83"	"29740"
"84"	"29913"
"85"	"29914"
"86"	"29915"
"87"	"29916"
"88"	"29917"
"89"	"29919"
"90"	"29920"
"91"	"29921"
"92"	"29922"
"93"	"29923"
"94"	"29925"
"95"	"29926"
"96"	"29927"
"97"	"30185"
"98"	"30186"
"99"	"30187"
"100"	"30188"
"101"	"30189"
"102"	"30190"
"103"	"30191"
"104"	"30192"
"105"	"30193"
"106"	"30194"
"107"	"30195"
"108"	"30196"
"109"	"30197"
"110"	"30198"
"111"	"30200"
"112"	"30201"
"113"	"30202"
"114"	"30203"
"115"	"30204"
"116"	"30205"
"117"	"30206"
"118"	"30207"
"119"	"30208"
"120"	"30232"
"121"	"30233"
"122"	"30279"
"123"	"30282"
"124"	"36202"
"125"	"36203"
"126"	"41784"
"127"	"41785"
"128"	"41786"
"129"	"41787"
